구  분,행정동별전월대비(인구증감) ,계(인구수),인구수(남),인구수(여),세대수,계(18세이상),18세이상인구수(남),18세이상인구수(여),통(리)수,반수,면적(km제곱),데이터기준일
삼락동,5198,5189,2720,2469,2933,4836,2548,2288,13,66,6.7,2024-03-14
모라1동,26366,26303,13062,13241,12255,23694,11738,11956,37,203,1.67,2024-03-14
모라3동,9286,9254,4369,4885,6271,8851,4160,4691,18,104,3.34,2024-03-14
덕포1동,11572,11638,5883,5755,5609,10214,5172,5042,18,96,0.56,2024-03-14
덕포2동,12155,12099,6131,5968,5637,10911,5507,5404,17,110,1.6,2024-03-14
괘법동,24276,24296,12466,11830,14607,22687,11631,11056,29,138,3.45,2024-03-14
감전동,12125,12099,6405,5694,6885,11363,6023,5340,28,131,3.49,2024-03-14
주례1동,16543,16474,8367,8107,7105,14504,7337,7167,23,111,1.53,2024-03-14
주례2동,21659,21686,10820,10866,11346,19479,9687,9792,31,151,2.37,2024-03-14
주례3동,12223,12193,5931,6262,5588,10979,5302,5677,17,89,0.86,2024-03-14
학장동,26533,26461,13077,13384,12000,23593,11563,12030,35,177,5.48,2024-03-14
엄궁동,24440,24370,12129,12241,9730,20926,10407,10519,28,154,5.05,2024-03-14
