구분,인구수-남,인구수-여,세대수,18세이상인구수-남,18세이상인구수-여,65세이상인구수-남,65세이상인구수-여,통(리)수,반수
남천1동,7317,8642,7257,6338,7583,1386,1991,19,108
남천2동,6088,6977,5416,5157,6054,1255,1547,12,97
수영동,6710,7385,7761,6209,6928,1958,2665,24,131
망미1동,12726,14068,12415,11158,12623,3263,4210,42,218
망미2동,4988,5228,4865,4398,4715,1155,1510,18,98
광안1동,11904,13809,14733,10746,12841,2260,3032,32,171
광안2동,8616,10020,9942,7692,9064,1666,2359,21,110
광안3동,4458,5120,6240,4218,4881,1000,1343,17,88
광안4동,6077,7385,6326,5328,6625,1264,1810,18,99
민락동,13479,14514,13360,11754,12855,2626,3391,35,211
